name,country,DOB,age,bio,picture,rank
Angelo Scola, Italy,11/7/1941,71,Archbishop of Milan,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Anthony Olubumni Okogie, Nigeria,6/16/1936,76,Archbishop Emeritus of Lagos,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Bernard Panafieu, France,1/26/1931,82,Archbishop Emeritus of Marseille,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Gabriel Zubeir Wako, Sudan,2/27/1939,74,Archbishop of Khartoum,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Carlos Amigo Vallejo, Spain,8/23/1934,78,Archbishop Emeritus of Seville,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Justin Francis Rigali, United States,4/19/1935,77,Archbishop Emeritus of Philadelphia,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Keith O'Brien, United Kingdom,3/17/1938,74,Archbishop Emeritus of Saint Andrews and Edinburgh,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Eusebio Oscar Scheid, Brazil,12/8/1932,80,Archbishop Emeritus of São Sebastião do Rio de Janeiro,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Ennio Antonelli, Italy,11/18/1936,76,President Emeritus of the Pontifical Council for the Family,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Peter Kodwo Appiah Turkson, Ghana,10/11/1948,64,President of the Pontifical Council for Justice and Peace,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Telesphore Placidus Toppo, India,10/13/1939,73,Archbishop of Ranchi,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
George Pell, Australia,4/8/1941,71,Archbishop of Sydney,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Josip Bozanić, Croatia,3/20/1949,63,Archbishop of Zagreb,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Jean-Baptiste Phạm Minh Mẫn, Vietnam,5 March 1934[8],79,Archbishop of Ho Chi Minh City,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Philippe Barbarin, France,10/17/1950,62,Archbishop of Lyon,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Péter Erdő, Hungary,6/25/1952,60,Archbishop of Esztergom-Budapest,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Marc Ouellet, Canada,6/8/1944,68,Prefect of the Congregation for Bishops,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Agostino Vallini, Italy,4/17/1940,72,Vicar General of Rome,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Jorge Urosa, Venezuela,8/28/1942,70,Archbishop of Caracas,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Gaudencio Borbon Rosales, Philippines,8/10/1932,80,Archbishop Emeritus of Manila,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Jean-Pierre Ricard, France,9/25/1944,68,Archbishop of Bordeaux,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Antonio Cañizares Llovera, Spain,10/15/1945,67,Prefect of the Congregation for Divine Worship and the Discipline of the Sacraments,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Nicolas Cheong Jin-suk, South Korea,12/7/1931,80,Archbishop Emeritus of Seoul,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Seán Patrick O'Malley, United States,6/29/1944,68,Archbishop of Boston,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Stanisław Dziwisz, Poland,4/27/1939,73,Archbishop of Kraków,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Carlo Caffarra, Italy,6/1/1938,74,Archbishop of Bologna,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Joseph Zen Ze-Kiun, Hong Kong[9],1/13/1932,81,Bishop Emeritus of Hong Kong,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Seán Brady, Ireland,8/16/1939,73,Archbishop of Armagh,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Lluís Martínez Sistach, Spain,4/29/1937,75,Archbishop of Barcelona,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
André Armand Vingt-Trois, France,11/7/1942,70,Archbishop of Paris,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Angelo Bagnasco, Italy,1/14/1943,70,Archbishop of Genoa,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Théodore-Adrien Sarr, Senegal,11/28/1936,76,Archbishop of Dakar,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Oswald Gracias, India,12/24/1944,68,Archbishop of Bombay,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Francisco Robles Ortega, Mexico,3/2/1949,64,Archbishop of Guadalajara,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Daniel DiNardo, United States,5/23/1949,63,Archbishop of Galveston-Houston,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Odilo Pedro Scherer, Brazil,9/21/1949,63,Archbishop of São Paulo,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
John Njue, Kenya,1944[10],68 or 69,Archbishop of Nairobi,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Estanislao Esteban Karlic, Argentina,2/7/1926,87,Archbishop Emeritus of Paraná,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Medardo Joseph Mazombwe, Zambia,9/24/1931,81,Archbishop Emeritus of Lusaka,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Raúl Eduardo Vela Chiriboga, Ecuador,1/1/1934,79,Archbishop Emeritus of Quito,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Laurent Monsengwo Pasinya, Democratic Republic of the Congo,10/7/1939,73,Archbishop of Kinshasa,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Paolo Romeo, Italy,2/20/1938,75,Archbishop of Palermo,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Donald William Wuerl, United States,11/12/1940,72,Archbishop of Washington,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Raymundo Damasceno Assis, Brazil,2/15/1937,76,Archbishop of Aparecida,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Kazimierz Nycz, Poland,2/1/1950,63,Archbishop of Warsaw,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Malcolm Ranjith, Sri Lanka,11/15/1947,65,Archbishop of Colombo,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Reinhard Marx, Germany,9/21/1953,59,Archbishop of Munich and Freising,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
José Manuel Estepa Llaurens, Spain,1/1/1926,87,Military Archbishop Emeritus of Spain,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
George Alencherry, India,4/19/1945,67,Major Archbishop of Ernakulam-Angamaly (Syro-Malabar Catholic Church),http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Thomas Christopher Collins, Canada,1/16/1947,66,Archbishop of Toronto,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
"Dominik Duka, OP", Czech Republic,4/26/1943,69,Archbishop of Prague,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Wim Eijk, Netherlands,6/22/1953,59,Archbishop of Utrecht,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Giuseppe Betori, Italy,2/25/1947,66,Archbishop of Florence,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Timothy Michael Dolan, United States,2/6/1950,63,Archbishop of New York,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Rainer Maria Woelki, Germany,8/18/1956,56,Archbishop of Berlin,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
John Tong Hon, Hong Kong,7/31/1939,73,Bishop of Hong Kong,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Lucian Mureșan, Romania,5/23/1931,81,Major Archbishop of Făgăraş and Alba Iulia (Romanian Greek-Catholic Church),http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Consistory of 24 November 2012,,,,,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Baselios Cleemis, India,6/15/1959,53,Major Archbishop of Trivandrum (Syro-Malankara Catholic Church),http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
John Onaiyekan, Nigeria,1/29/1944,69,Archbishop of Abuja,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Rubén Salazar Gómez, Colombia,9/22/1942,70,Archbishop of Bogotá,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Luis Antonio Tagle, Philippines,6/21/1957,55,Archbishop of Manila,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Jean-Louis Tauran, France,4/3/1943,69,"President of the Pontifical Council for Interreligious Dialogue, Cardinal Protodeacon since February 2011",http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Renato Raffaele Martino, Italy,11/23/1932,80,President Emeritus of the Pontifical Council for Justice and Peace,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Francesco Marchisano, Italy,6/25/1929,83,President Emeritus of the Office of Labor of the Apostolic See,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Julián Herranz Casado, Spain,3/31/1930,82,President Emeritus of the Pontifical Council for Legislative Texts,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Javier Lozano Barragán, Mexico,1/26/1933,80,President Emeritus of the Pontifical Council for the Pastoral Care of Health Care Workers,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Attilio Nicora, Italy,3/16/1937,75,President of the Financial Information Authority,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
"Georges Marie Martin Cottier, OP", Switzerland,4/25/1922,90,"Former Titular Archbishop of Tullia, retired as Pro-Theologian of the Pontifical Household and as Secretary-General of the International Theological Commission",http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Stanisław Nagy, Poland,9/30/1921,91,Former Titular Archbishop of Hólar and Professor Emeritus of Theology,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
William Joseph Levada, United States,6/15/1936,76,Prefect Emeritus of the Congregation for the Doctrine of the Faith,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Franc Rodé, Slovenia,9/23/1934,78,Prefect Emeritus of the Congregation for Institutes of Consecrated Life and Societies of Apostolic Life,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Andrea Cordero Lanza di Montezemolo, Italy,8/27/1925,87,Archpriest Emeritus of the Basilica of St. Paul Outside the Walls,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Albert Vanhoye, France,7/23/1923,89,formerly rector of the Pontifical Biblical Institute and secretary of the Pontifical Biblical Commission,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Leonardo Sandri, Argentina,11/18/1943,69,Prefect of the Congregation for the Oriental Churches,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Giovanni Lajolo, Italy,1/3/1935,78,President Emeritus of the Governorate of Vatican City State,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Paul Josef Cordes, Germany,9/5/1934,78,President Emeritus of the Pontifical Council Cor Unum,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Angelo Comastri, Italy,9/17/1943,69,"Archpriest of St. Peter's Basilica, Vicar General for the Vatican City State, and President of the Fabric of St. Peter",http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Stanisław Ryłko, Poland,7/4/1945,67,President of the Pontifical Council for the Laity,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Raffaele Farina, Italy,9/24/1933,79,Librarian and Archivist Emeritus of the Holy Roman Church,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Giovanni Coppa, Italy,11/9/1925,87,Apostolic Nuncio Emeritus to Czech Republic,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Angelo Amato, Italy,6/8/1938,74,Prefect of the Congregation for the Causes of Saints,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Robert Sarah, Guinea,6/15/1945,67,President of the Pontifical Council Cor Unum,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Francesco Monterisi, Italy,5/28/1934,78,Archpriest Emeritus of the Basilica of Saint Paul Outside the Walls,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Raymond Leo Burke, United States,6/30/1948,64,"Prefect of the Supreme Tribunal of the Apostolic Signatura, Archbishop Emeritus of Saint Louis",http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Kurt Koch, Switzerland,3/15/1950,62,President of the Pontifical Council for Promoting Christian Unity,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Paolo Sardi, Italy,9/1/1934,78,Patron of the Sovereign Military Order of Malta,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Mauro Piacenza, Italy,9/15/1944,68,Prefect of the Congregation for the Clergy,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Velasio de Paolis, Italy,9/19/1935,77,President Emeritus of the Prefecture for the Economic Affairs of the Holy See,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Gianfranco Ravasi, Italy,10/18/1942,70,President of the Pontifical Council for Culture,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Elio Sgreccia, Italy,6/6/1928,84,President Emeritus of the Pontifical Academy for Life,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Walter Brandmüller, Germany,1/26/1929,84,President Emeritus of the Pontifical Committee for Historical Sciences,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Domenico Bartolucci, Italy,5/7/1917,95,Director Emeritus of the Sistine Chapel Choir,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Fernando Filoni, Italy,4/15/1946,66,Prefect of the Congregation for the Evangelization of Peoples,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Manuel Monteiro de Castro, Portugal,3/29/1938,74,Major Penitentiary,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Santos Abril y Castelló, Spain,9/21/1935,77,Archpriest of the Basilica di Santa Maria Maggiore,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Antonio Maria Vegliò, Italy,2/3/1938,75,President of the Pontifical Council for the Pastoral Care of Migrants and Itinerants,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Giuseppe Bertello, Italy,10/1/1942,70,President of the Pontifical Commission for Vatican City State,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Francesco Coccopalmerio, Italy,3/6/1938,74,President of the Pontifical Council for Legislative Texts,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
João Braz de Aviz, Brazil,4/24/1947,65,Prefect of the Congregation for Institutes of Consecrated Life and Societies of Apostolic Life,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Edwin Frederick O'Brien, United States,4/8/1939,73,Grand Master of the Equestrian Order of the Holy Sepulchre of Jerusalem,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Domenico Calcagno, Italy,2/3/1943,70,President of the Administration of the Patrimony of the Apostolic See,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Giuseppe Versaldi, Italy,7/30/1943,69,President of the Prefecture for the Economic Affairs of the Holy See,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Prosper Grech, Malta,12/24/1925,87,Docent at various Roman universities and Consultor of the Congregation for the Doctrine of the Faith,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Karl Josef Becker, Germany,4/18/1928,84,"Docent Emeritus at the Pontifical Gregorian University, and Consultor of the Congregation for the Doctrine of the Faith",http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
James Michael Harvey, United States,10/20/1949,63,Archpriest of the Basilica of Saint Paul Outside the Walls,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,